PROBE_DESIGN_ID	HITS_OREO_ILLUMINA
572981_0334_0348	1
572981_0264_0624	1
572981_0213_0347	1
572981_0192_0248	1
572981_0012_0202	1
572981_0072_0388	1
572981_0184_0162	1
572981_0277_0035	1
572981_0085_0325	1
572981_0381_0303	1
572981_0297_0441	1
572981_0213_0471	1
572981_0440_0082	1
572981_0432_0584	1
572981_0192_0070	1
572981_0364_0550	1
572981_0309_0203	1
572981_0227_0275	1
572981_0424_0200	1
572981_0249_0233	1
572981_0405_0045	1
572981_0213_0239	1
572981_0084_0484	1
572981_0352_0478	1
572981_0197_0065	1
572981_0455_0447	1
572981_0415_0111	1
572981_0367_0427	1
572981_0413_0241	2
572981_0377_0597	2
572981_0332_0526	2
572981_0357_0597	2
572981_0016_0190	2
572981_0172_0218	2
572981_0333_0097	1
572981_0377_0009	1
572981_0087_0059	1
572981_0384_0546	1
572981_0138_0620	1
572981_0103_0501	1
572981_0136_0096	1
572981_0093_0079	1
572981_0125_0261	1
572981_0318_0542	1
572981_0311_0351	1
572981_0075_0445	1
572981_0152_0532	1
572981_0237_0601	1
572981_0055_0315	1
572981_0260_0196	1
572981_0326_0278	1
572981_0409_0459	1
572981_0440_0584	1
572981_0332_0172	1
572981_0192_0572	1
572981_0367_0189	1
572981_0258_0580	1
572981_0144_0432	1
572981_0351_0509	1
572981_0138_0014	1
572981_0051_0129	1
572981_0361_0083	1
572981_0280_0468	1
572981_0225_0117	1
572981_0320_0150	1
572981_0195_0441	1
572981_0110_0352	1
572981_0223_0193	1
572981_0300_0040	1
572981_0249_0015	1
572981_0351_0355	1
572981_0441_0089	1
572981_0197_0277	1
572981_0188_0318	1
572981_0375_0013	1
572981_0043_0049	1
572981_0058_0258	1
572981_0130_0350	1
572981_0266_0490	1
572981_0147_0381	1
572981_0112_0030	1
572981_0311_0099	1
572981_0080_0212	1
572981_0176_0372	1
572981_0200_0220	1
572981_0071_0587	1
572981_0033_0131	1
572981_0158_0188	1
572981_0257_0591	1
572981_0251_0173	1
572981_0038_0058	1
572981_0022_0608	1
572981_0195_0565	1
572981_0411_0009	1
572981_0093_0571	1
572981_0211_0213	1
572981_0211_0555	1
572981_0388_0490	1
572981_0176_0220	1
572981_0273_0577	1
572981_0062_0348	1
572981_0057_0143	1
572981_0153_0427	1
572981_0048_0594	1
572981_0218_0322	1
572981_0096_0074	1
572981_0042_0608	1
572981_0368_0040	1
572981_0338_0238	1
572981_0286_0506	1
572981_0265_0021	1
572981_0016_0236	1
572981_0043_0461	1
572981_0356_0020	1
572981_0146_0340	1
572981_0211_0523	1
572981_0321_0337	1
572981_0299_0117	1
572981_0213_0373	1
572981_0341_0167	1
572981_0076_0032	1
572981_0114_0552	1
572981_0084_0286	1
572981_0358_0560	1
572981_0021_0151	1
572981_0301_0095	1
572981_0255_0611	1
572981_0401_0225	1
572981_0235_0589	1
572981_0358_0508	1
572981_0214_0150	1
572981_0338_0110	1
572981_0389_0151	1
572981_0361_0457	1
572981_0308_0072	1
572981_0275_0105	1
572981_0348_0600	1
572981_0014_0532	1
572981_0120_0150	1
572981_0304_0456	1
572981_0020_0368	1
572981_0227_0279	1
572981_0291_0193	1
572981_0349_0243	1
572981_0341_0347	1
572981_0310_0214	1
572981_0343_0533	1
572981_0385_0493	1
572981_0355_0131	1
572981_0065_0105	1
572981_0447_0431	1
572981_0040_0134	1
572981_0445_0249	1
572981_0421_0297	2
572981_0007_0245	2
572981_0053_0595	1
572981_0112_0516	3
572981_0206_0452	3
572981_0351_0241	1
572981_0449_0543	1
572981_0337_0127	1
572981_0316_0086	1
572981_0392_0052	1
572981_0290_0182	1
572981_0157_0177	1
572981_0204_0502	1
572981_0102_0562	1
572981_0170_0100	1
572981_0164_0382	1
572981_0019_0337	1
572981_0420_0470	1
572981_0362_0226	1
572981_0009_0089	1
572981_0235_0105	1
572981_0405_0133	1
572981_0128_0064	1
572981_0040_0604	1
572981_0359_0259	1
572981_0357_0201	1
572981_0312_0596	1
